PUNTO;PERIODO;AÑO;MES;FECHA;ENTRADA_m3;SALIDA_m3;PERDIDAS_m3;INDICE_PERDIDAS_%;ES_PRONOSTICO
VALVULA_4;202502;2025;2;2025-02-01;23549,88;22252,93;1296,95;5,51;True
VALVULA_4;202503;2025;3;2025-03-01;24518,59;35470,79;-10952,2;-44,67;True
VALVULA_4;202504;2025;4;2025-04-01;23587,97;31073,44;-7485,47;-31,73;True
VALVULA_4;202505;2025;5;2025-05-01;23698,79;29397,88;-5699,09;-24,05;True
VALVULA_4;202506;2025;6;2025-06-01;23687,54;28236,34;-4548,8;-19,2;True
VALVULA_4;202507;2025;7;2025-07-01;26101,77;33973,09;-7871,32;-30,16;True
VALVULA_4;202508;2025;8;2025-08-01;26416,21;30554,63;-4138,42;-15,67;True
VALVULA_4;202509;2025;9;2025-09-01;27023,13;32370,0;-5346,88;-19,79;True
VALVULA_4;202510;2025;10;2025-10-01;27523,61;34342,15;-6818,53;-24,77;True
VALVULA_4;202511;2025;11;2025-11-01;27386,59;39198,66;-11812,07;-43,13;True
VALVULA_5;202407;2024;7;2024-07-01;831,4;;;;False
VALVULA_5;202408;2024;8;2024-08-01;4334,42;;;;False
VALVULA_5;202409;2024;9;2024-09-01;4432,4;4666,73;-234,34;-0,05;False
VALVULA_5;202410;2024;10;2024-10-01;4743,0;4702,39;40,61;0,01;False
VALVULA_5;202411;2024;11;2024-11-01;4503,27;4964,73;-461,45;-10,25;True
VALVULA_5;202412;2024;12;2024-12-01;4503,27;4491,9;11,38;0,25;True
VALVULA_5;202501;2025;1;2025-01-01;4503,27;4818,86;-315,58;-7,01;True
VALVULA_5;202502;2025;2;2025-02-01;4503,27;4935,42;-432,15;-9,6;True
VALVULA_5;202503;2025;3;2025-03-01;4503,27;4866,24;-362,97;-8,06;True
VALVULA_5;202504;2025;4;2025-04-01;4503,27;4944,44;-441,17;-9,8;True
VALVULA_5;202505;2025;5;2025-05-01;4503,27;4845,26;-341,99;-7,59;True
VALVULA_5;202506;2025;6;2025-06-01;4503,27;5483,76;-980,48;-21,77;True
VALVULA_5;202507;2025;7;2025-07-01;4503,27;4925,48;-422,21;-9,38;True
VALVULA_5;202508;2025;8;2025-08-01;4503,27;5105,86;-602,58;-13,38;True
VALVULA_5;202509;2025;9;2025-09-01;4503,27;4679,1;-175,82;-3,9;True
VALVULA_5;202510;2025;10;2025-10-01;4503,27;4994,5;-491,22;-10,91;True
VALVULA_5;202511;2025;11;2025-11-01;4503,27;5177,0;-673,73;-14,96;True
